Application mode,Course,Daytime/evening attendance	,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Tuition fees up to date,Gender,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP
18,9070,1,131.0,1,37,5,5,122.3,0,0,19,6,6,6,12.166666666666666,6,6,0,0.0,15.5,2.8,-4.06
39,9003,1,130.0,1,37,9,1,122.0,0,1,25,10,23,6,11.428571428571429,7,15,4,12.0,15.5,2.8,-4.06
43,9500,1,100.0,34,34,0,0,110.0,1,1,30,14,26,12,12.52608695652174,14,26,12,12.52608695652174,7.6,2.6,0.32
16,9773,1,138.0,37,38,4,9,134.2,1,0,20,6,6,6,15.0,6,6,6,13.0,11.1,0.6,2.02
42,9500,1,100.0,37,37,7,9,100.0,1,0,19,8,8,7,13.058571428571428,8,8,7,13.058571428571428,10.8,1.4,1.74
1,9500,1,122.0,19,37,3,5,116.6,1,1,20,7,7,7,13.314285714285717,8,8,8,12.575,12.4,0.5,1.79
17,9070,1,142.0,3,1,2,4,141.0,1,1,18,6,6,6,13.0,6,8,1,10.0,10.8,1.4,1.74
1,9238,1,125.0,19,38,9,6,114.9,1,0,19,6,9,5,11.4,6,9,3,10.0,8.9,1.4,3.51
1,171,1,141.0,3,1,4,4,142.8,1,0,18,0,0,0,0.0,0,0,0,0.0,12.4,0.5,1.79
43,9119,1,130.0,1,1,9,2,128.0,0,1,27,5,5,0,0.0,5,7,0,0.0,13.9,-0.3,0.79
17,9670,1,118.0,1,19,4,8,118.7,1,1,19,6,7,6,12.0,6,6,6,14.0,12.4,0.5,1.79
43,9070,1,117.0,1,1,4,7,112.5,1,1,19,6,7,3,11.666666666666666,6,13,4,10.333333333333334,13.9,-0.3,0.79
17,9500,1,134.0,19,37,4,7,133.5,1,0,19,7,8,7,14.05,8,8,8,15.1,13.9,-0.3,0.79
44,9003,1,160.0,1,38,4,4,160.0,1,1,20,6,9,6,13.444444444444445,6,9,5,12.6,13.9,-0.3,0.79
39,171,1,145.0,3,1,2,10,114.5,1,1,24,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12
18,9500,1,124.0,38,37,9,7,119.3,1,0,19,8,8,8,13.11625,8,8,8,13.11625,9.4,-0.8,-3.12
1,171,1,137.0,3,19,2,9,122.3,1,0,19,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
43,8014,0,145.7,37,37,9,9,145.7,1,0,25,16,16,15,13.333333333333334,13,13,11,12.272727272727272,13.9,-0.3,0.79
17,9500,1,125.0,19,19,5,5,114.5,1,0,18,7,11,6,11.983333333333334,8,12,8,12.28125,16.2,0.3,-0.92
39,9991,0,133.1,37,37,9,9,109.7,1,0,29,5,0,0,0.0,5,0,0,0.0,16.2,0.3,-0.92
39,9500,1,140.0,3,3,1,1,140.0,1,0,24,8,8,8,13.385,8,8,8,13.385,9.4,-0.8,-3.12
1,9500,1,123.0,19,19,7,7,120.8,1,0,19,8,11,7,12.545714285714286,8,11,7,12.545714285714286,10.8,1.4,1.74
17,9147,1,142.0,37,38,5,1,129.4,1,0,18,5,5,5,13.2,5,6,4,12.5,9.4,-0.8,-3.12
17,9147,1,129.0,19,1,9,4,122.0,1,1,19,5,8,5,11.6,5,10,4,10.75,9.4,-0.8,-3.12
39,8014,0,160.0,37,37,3,4,97.0,1,0,35,6,9,6,11.333333333333334,6,6,6,11.333333333333334,15.5,2.8,-4.06
1,9130,1,161.0,1,19,4,4,152.3,1,0,18,6,7,6,15.571428571428571,6,7,6,14.714285714285714,11.1,0.6,2.02
1,9254,1,127.0,19,19,4,6,120.7,0,0,22,6,10,5,11.0,6,12,0,0.0,10.8,1.4,1.74
43,9773,1,121.0,1,1,4,5,121.0,1,1,23,6,15,1,13.0,6,8,4,11.25,9.4,-0.8,-3.12
43,9556,1,126.0,2,3,3,2,100.0,1,0,25,7,10,3,13.0,8,10,3,11.666666666666666,10.8,1.4,1.74
17,9853,1,133.1,12,1,4,0,134.8,1,0,18,6,12,0,0.0,6,12,0,0.0,7.6,2.6,0.32
17,9773,1,122.0,1,1,4,7,116.8,1,0,18,6,6,6,11.666666666666666,6,6,6,12.333333333333334,16.2,0.3,-0.92
7,9147,1,150.0,3,37,2,5,150.0,0,0,38,5,6,0,0.0,5,5,0,0.0,15.5,2.8,-4.06
43,9147,1,129.0,19,1,9,5,112.0,1,1,22,9,9,5,11.2,9,14,7,11.25,12.7,3.7,-1.7
43,9991,0,133.1,37,19,3,10,136.1,1,1,42,5,14,1,10.0,5,14,1,11.0,13.9,-0.3,0.79
44,171,1,150.0,4,4,2,2,150.0,1,1,25,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
1,9238,1,125.0,19,19,9,9,121.5,1,0,19,6,9,6,10.857142857142858,6,7,6,11.666666666666666,12.4,0.5,1.79
17,9238,1,111.0,19,38,9,9,110.7,1,0,19,6,9,6,12.166666666666666,6,9,6,11.0,8.9,1.4,3.51
44,9085,1,150.0,5,4,1,1,150.0,1,0,20,6,7,6,13.333333333333334,6,16,5,13.375,12.4,0.5,1.79
17,9085,1,128.0,1,19,4,90,124.2,0,0,21,5,8,2,11.5,5,7,2,10.5,7.6,2.6,0.32
1,9773,1,133.0,19,19,7,7,134.4,1,1,20,6,6,6,12.166666666666666,6,8,4,12.75,9.4,-0.8,-3.12
17,9991,0,127.0,37,37,6,6,124.9,1,0,29,5,10,5,13.571428571428571,5,14,5,12.333333333333334,16.2,0.3,-0.92
39,9238,1,140.0,34,34,0,0,114.0,0,0,28,6,11,1,13.0,6,12,0,0.0,9.4,-0.8,-3.12
53,9085,1,150.0,1,19,3,8,150.3,1,1,21,11,15,9,14.22222222222222,9,15,7,13.75,8.9,1.4,3.51
1,9147,1,177.0,1,38,3,9,162.3,1,0,18,5,6,5,16.333333333333332,5,5,5,15.4,15.5,2.8,-4.06
44,9003,1,130.0,1,37,6,6,130.0,1,1,20,6,14,5,11.714285714285714,6,15,5,12.0,16.2,0.3,-0.92
1,9500,1,138.0,1,38,3,9,123.0,1,0,19,7,10,5,13.44,7,8,6,13.066666666666668,12.4,0.5,1.79
39,9991,0,140.0,19,19,9,7,152.4,1,0,26,5,5,5,12.0,5,6,5,14.833333333333334,10.8,1.4,1.74
17,171,1,143.0,19,37,5,9,156.3,1,1,19,0,0,0,0.0,0,0,0,0.0,11.1,0.6,2.02
17,9254,1,125.0,1,1,3,3,114.5,1,1,22,6,8,6,13.625,6,8,6,14.428571428571429,11.1,0.6,2.02
39,9119,1,110.0,19,19,0,5,137.0,1,1,30,5,5,0,0.0,5,5,0,0.0,7.6,2.6,0.32
43,9147,1,123.0,3,19,9,9,113.2,1,0,21,10,18,6,11.166666666666666,10,16,7,10.571428571428571,7.6,2.6,0.32
1,9085,1,125.0,1,19,4,9,114.5,1,0,24,5,6,5,13.0,5,9,4,13.25,12.7,3.7,-1.7
39,9500,1,133.1,3,1,5,5,148.8,1,0,34,7,7,6,12.513333333333334,8,9,7,13.071428571428571,12.4,0.5,1.79
18,9070,1,134.0,1,1,3,4,121.4,1,0,18,6,6,2,12.0,6,6,1,11.0,9.4,-0.8,-3.12
44,9003,1,150.0,19,37,6,6,150.0,1,0,19,6,9,6,14.333333333333334,6,7,6,13.833333333333334,13.9,-0.3,0.79
1,9500,1,141.0,38,19,9,6,126.3,1,0,20,8,12,7,12.471428571428572,8,12,7,12.471428571428572,12.7,3.7,-1.7
1,9254,1,125.0,1,19,4,1,121.5,1,1,18,6,12,5,11.0,6,11,3,10.333333333333334,9.4,-0.8,-3.12
18,8014,0,137.0,1,1,4,3,123.0,1,0,20,6,13,4,10.8,6,15,4,12.0,16.2,0.3,-0.92
44,9119,1,160.0,3,38,2,3,160.0,0,1,24,6,6,2,16.0,7,7,2,16.0,8.9,1.4,3.51
44,171,1,140.0,1,1,9,9,140.0,1,1,21,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
17,9254,1,123.0,19,19,5,5,113.2,1,0,19,6,10,6,12.166666666666666,6,8,5,11.666666666666666,16.2,0.3,-0.92
1,9500,1,168.0,1,1,5,5,161.0,1,1,18,7,7,7,16.142857142857142,8,9,0,0.0,16.2,0.3,-0.92
17,9254,1,130.0,37,38,9,9,122.7,1,1,20,6,7,0,0.0,6,6,0,0.0,8.9,1.4,3.51
1,9238,1,135.0,1,1,4,4,122.8,1,0,18,6,7,6,14.0,6,7,6,14.0,10.8,1.4,1.74
1,9500,1,148.0,3,3,2,2,137.3,1,0,19,7,7,6,14.266666666666666,7,7,6,14.266666666666666,7.6,2.6,0.32
43,8014,0,131.0,19,37,8,5,125.0,1,1,24,6,13,0,0.0,6,6,0,0.0,16.2,0.3,-0.92
1,9500,1,125.0,19,38,9,8,118.3,1,1,20,8,12,5,12.002,8,12,5,12.002,10.8,1.4,1.74
43,9070,1,114.0,19,38,9,7,135.9,1,1,26,14,14,14,14.0,13,13,13,13.615384615384617,15.5,2.8,-4.06
39,9147,1,130.0,19,37,4,7,140.0,1,1,34,5,10,3,11.666666666666666,5,7,4,12.75,9.4,-0.8,-3.12
7,9254,1,130.0,1,3,4,3,130.0,1,0,39,6,10,0,0.0,6,6,0,0.0,12.4,0.5,1.79
7,9147,1,110.0,19,1,9,9,110.0,1,0,33,8,10,6,12.833333333333334,5,8,4,12.0,11.1,0.6,2.02
17,9773,1,127.0,2,37,9,9,115.8,0,0,19,6,6,0,0.0,6,0,0,0.0,8.9,1.4,3.51
17,9070,1,120.0,3,1,4,4,116.9,1,0,19,6,6,6,13.5,6,7,6,13.428571428571429,8.9,1.4,3.51
43,171,1,120.0,3,3,2,2,120.0,1,1,22,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
17,9254,1,124.0,19,38,9,9,123.3,1,0,22,6,7,6,10.833333333333334,6,6,6,10.666666666666666,13.9,-0.3,0.79
1,9670,1,132.0,4,2,123,112,143.6,1,1,20,6,8,5,12.8,6,10,5,11.6,13.9,-0.3,0.79
44,9238,1,130.0,38,38,5,10,126.7,1,0,21,6,6,6,12.166666666666666,6,7,6,11.714285714285714,13.9,-0.3,0.79
18,9853,1,168.0,1,19,3,9,126.8,1,1,18,6,7,5,12.6,6,6,6,13.0,10.8,1.4,1.74
1,171,1,131.0,19,38,4,5,132.8,1,0,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
17,9238,1,116.0,1,1,3,3,119.2,1,0,18,6,6,6,14.0,6,6,6,13.5,8.9,1.4,3.51
43,171,1,140.0,38,37,9,7,140.0,0,1,25,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
1,9070,1,123.0,3,1,9,3,121.3,1,0,20,6,6,6,11.166666666666666,6,9,6,11.5,12.4,0.5,1.79
1,9070,1,145.0,38,19,7,7,130.0,1,1,18,6,7,6,12.833333333333334,6,7,6,12.571428571428571,8.9,1.4,3.51
39,8014,0,133.1,19,37,6,8,149.5,1,1,48,6,6,0,0.0,5,6,0,0.0,12.4,0.5,1.79
1,9147,1,142.0,38,37,7,7,134.3,1,1,21,5,0,0,0.0,5,0,0,0.0,10.8,1.4,1.74
18,9085,1,170.0,1,1,4,5,166.6,0,0,20,5,8,5,14.4,5,6,5,14.0,12.7,3.7,-1.7
43,171,1,140.0,37,37,9,9,140.0,1,0,34,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
17,9254,1,118.0,1,19,5,4,118.0,1,0,19,6,7,5,11.0,6,7,5,12.8,12.4,0.5,1.79
1,9070,1,139.0,1,38,4,7,142.2,1,0,19,6,6,6,12.833333333333334,6,6,6,12.833333333333334,9.4,-0.8,-3.12
39,9130,1,120.0,1,38,9,9,150.0,1,1,25,6,6,0,0.0,6,6,0,0.0,12.4,0.5,1.79
1,9773,1,158.0,1,38,4,7,157.0,1,0,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,10.8,1.4,1.74
17,9238,1,129.0,37,37,9,8,117.1,1,1,21,6,6,6,12.333333333333334,6,7,6,13.666666666666666,8.9,1.4,3.51
17,9070,1,123.0,4,37,2,9,113.9,1,0,18,6,8,6,12.5,6,6,6,12.333333333333334,15.5,2.8,-4.06
1,9500,1,141.0,19,19,9,9,126.0,1,0,18,8,8,7,15.657142857142857,8,8,7,15.657142857142857,12.7,3.7,-1.7
39,9991,0,150.0,19,19,9,9,150.3,1,1,24,5,7,3,11.333333333333334,5,6,0,0.0,10.8,1.4,1.74
43,9119,1,128.0,1,38,4,7,100.0,1,1,19,5,8,5,12.0,5,12,2,10.5,13.9,-0.3,0.79
1,9853,1,133.0,19,37,4,9,130.2,1,0,19,6,6,0,0.0,6,0,0,0.0,12.7,3.7,-1.7
1,9670,1,131.0,37,37,9,6,127.2,1,0,18,5,7,3,12.666666666666666,5,5,4,12.5,9.4,-0.8,-3.12
39,9991,0,100.0,37,37,9,6,153.5,0,1,31,5,9,0,0.0,5,6,0,0.0,12.4,0.5,1.79
1,9500,1,150.0,1,1,5,1,155.6,1,0,19,7,7,7,14.3,8,9,8,14.055555555555555,16.2,0.3,-0.92
17,9147,1,118.0,19,1,9,3,113.5,1,0,20,5,10,2,11.5,5,8,3,10.0,11.1,0.6,2.02
39,8014,0,140.0,37,37,9,9,101.0,1,0,35,6,7,6,12.5,6,6,6,12.166666666666666,15.5,2.8,-4.06
39,9991,0,130.0,37,37,9,9,127.6,1,1,29,5,5,0,0.0,5,5,0,0.0,7.6,2.6,0.32
17,9147,1,135.0,37,38,9,9,128.0,1,0,18,5,5,5,12.8,5,5,5,13.0,11.1,0.6,2.02
1,9500,1,136.0,38,1,5,6,133.9,1,0,18,7,9,7,14.711111111111112,8,9,8,14.627777777777778,15.5,2.8,-4.06
43,9773,1,140.0,3,37,3,7,116.9,1,1,32,11,15,7,11.285714285714286,7,10,6,12.333333333333334,13.9,-0.3,0.79
39,9556,1,133.1,37,37,9,10,100.0,1,1,31,7,7,0,0.0,7,7,0,0.0,15.5,2.8,-4.06
39,9670,1,140.0,37,37,9,9,148.0,0,1,31,6,14,0,0.0,6,6,0,0.0,12.7,3.7,-1.7
1,9085,1,122.0,1,1,193,101,126.2,1,0,19,6,8,6,14.0,6,18,3,12.666666666666666,12.4,0.5,1.79
39,9003,1,140.0,3,1,5,9,130.0,1,1,27,6,6,6,14.166666666666666,6,7,6,13.833333333333334,11.1,0.6,2.02
1,9070,1,124.0,19,37,4,4,126.8,1,0,18,6,8,6,12.0,6,12,5,11.142857142857142,13.9,-0.3,0.79
43,9130,1,120.0,1,19,9,9,120.0,1,0,21,6,14,5,11.5,6,13,5,11.0,15.5,2.8,-4.06
1,9085,1,134.0,38,19,9,4,128.4,1,0,19,5,7,5,12.5,5,8,5,12.714285714285714,10.8,1.4,1.74
1,9238,1,125.0,19,38,7,7,118.7,1,1,20,6,12,4,11.75,6,13,3,11.333333333333334,15.5,2.8,-4.06
1,9500,1,127.0,2,19,3,9,121.5,1,1,23,7,7,6,13.483333333333334,7,7,6,13.483333333333334,7.6,2.6,0.32
1,9238,1,154.0,38,38,9,9,156.5,1,0,18,6,8,6,11.714285714285714,6,6,6,14.666666666666666,12.7,3.7,-1.7
1,9147,1,128.0,3,3,5,10,116.5,1,1,20,5,7,5,11.6,5,5,5,12.8,12.4,0.5,1.79
39,8014,0,120.0,38,37,5,3,110.5,1,0,36,6,6,6,11.833333333333334,6,6,6,11.5,10.8,1.4,1.74
1,9238,1,126.0,38,38,7,8,126.7,1,0,19,6,11,4,12.75,6,7,6,11.333333333333334,7.6,2.6,0.32
17,9773,1,138.0,37,19,5,7,133.5,0,0,18,6,7,6,12.5,6,6,6,12.166666666666666,10.8,1.4,1.74
42,9556,1,110.0,37,37,9,6,140.0,1,1,43,7,7,0,0.0,8,13,2,13.15,16.2,0.3,-0.92
1,9085,1,142.0,38,38,9,10,127.0,1,0,18,5,7,3,12.333333333333334,5,9,5,12.6,10.8,1.4,1.74
17,9070,1,133.0,4,1,4,4,132.0,1,0,17,6,6,6,13.0,6,6,6,12.5,15.5,2.8,-4.06
1,9130,1,110.0,3,19,2,9,105.5,0,0,19,6,0,0,0.0,6,0,0,0.0,11.1,0.6,2.02
1,9500,1,127.0,3,1,2,8,121.4,1,1,20,7,10,5,13.976666666666668,8,9,8,13.22222222222222,12.4,0.5,1.79
1,9500,1,143.0,19,37,7,7,127.0,1,0,18,8,8,8,13.07375,8,8,8,13.07375,9.4,-0.8,-3.12
17,9773,1,134.0,2,1,3,3,129.5,1,1,18,6,7,6,13.166666666666666,6,7,6,12.666666666666666,16.2,0.3,-0.92
39,171,1,133.1,37,37,9,7,100.0,1,1,33,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
43,9991,0,120.0,38,38,9,7,141.0,1,1,32,10,12,10,13.8,10,10,10,12.8,10.8,1.4,1.74
15,9147,1,135.0,1,1,9,7,135.0,1,1,21,5,9,3,12.333333333333334,5,8,4,11.25,8.9,1.4,3.51
1,9085,1,138.0,1,3,4,4,126.3,1,0,18,6,8,6,14.0,6,9,6,13.333333333333334,8.9,1.4,3.51
17,9238,1,133.0,2,1,3,4,136.2,1,0,19,6,14,1,11.5,6,12,2,10.5,7.6,2.6,0.32
43,9500,1,120.0,41,3,2,2,112.7,1,0,21,8,12,6,11.68,8,12,6,11.68,10.8,1.4,1.74
44,9119,1,130.0,19,3,3,4,130.0,0,1,23,5,5,0,0.0,5,5,0,0.0,15.5,2.8,-4.06
7,8014,0,130.0,19,38,3,7,130.0,1,0,32,14,18,13,12.846153846153848,11,19,10,12.8,10.8,1.4,1.74
39,9853,1,130.0,37,19,7,3,140.0,1,0,34,6,7,6,16.142857142857142,6,10,6,16.2,9.4,-0.8,-3.12
7,33,1,120.0,38,37,5,6,120.0,0,1,25,21,26,21,12.363636363636363,16,21,12,12.25,11.1,0.6,2.02
1,9085,1,144.0,3,3,6,6,137.6,1,0,19,5,6,5,15.4,5,5,5,16.0,10.8,1.4,1.74
39,9500,1,140.0,37,38,9,9,160.0,1,0,27,8,8,7,15.94285714285714,8,8,7,15.94285714285714,12.7,3.7,-1.7
1,9500,1,144.0,38,37,9,9,125.8,1,0,19,8,12,7,12.471428571428572,8,12,7,12.471428571428572,12.7,3.7,-1.7
51,9070,1,135.0,3,1,3,5,121.8,1,0,19,11,11,11,13.181818181818182,11,11,11,12.909090909090908,11.1,0.6,2.02
1,9147,1,124.0,19,19,9,3,115.6,0,1,20,5,9,3,12.0,5,7,3,11.0,9.4,-0.8,-3.12
39,9003,1,140.0,37,37,9,8,150.0,1,1,28,6,12,5,12.0,6,10,6,12.333333333333334,11.1,0.6,2.02
17,9119,1,139.0,37,19,9,4,133.1,1,1,18,5,8,4,12.5,5,7,3,14.666666666666666,7.6,2.6,0.32
43,9070,1,160.0,1,2,4,2,100.0,1,1,38,6,9,5,16.0,6,11,4,16.5,13.9,-0.3,0.79
7,9500,1,130.0,19,38,5,3,130.0,1,0,23,8,8,8,13.22,8,8,8,13.22,9.4,-0.8,-3.12
17,9500,1,146.0,4,1,2,3,140.0,1,0,18,8,8,7,14.828571428571427,8,8,7,14.828571428571427,12.7,3.7,-1.7
17,9070,1,127.0,1,1,3,4,130.2,1,1,19,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74
51,171,1,128.0,2,1,3,3,131.2,1,1,21,12,12,12,13.666666666666666,11,16,11,13.0,8.9,1.4,3.51
44,9003,1,120.0,38,19,3,5,120.0,1,1,23,6,6,0,0.0,6,8,0,0.0,15.5,2.8,-4.06
43,8014,0,133.1,34,34,0,0,100.0,1,0,29,6,9,4,12.0,6,13,2,10.5,7.6,2.6,0.32
1,9003,1,144.0,19,19,9,9,132.8,1,1,19,6,9,4,12.0,6,10,4,12.5,15.5,2.8,-4.06
1,171,1,142.0,19,19,7,7,142.0,1,0,18,0,0,0,0.0,0,0,0,0.0,13.9,-0.3,0.79
44,9085,1,140.0,3,1,4,3,140.0,1,0,20,6,11,6,11.833333333333334,6,17,5,11.857142857142858,12.4,0.5,1.79
17,9254,1,131.0,1,19,9,9,130.3,1,0,18,6,6,6,12.833333333333334,6,7,6,12.333333333333334,13.9,-0.3,0.79
1,171,1,172.0,1,1,4,9,167.1,1,1,18,0,0,0,0.0,0,0,0,0.0,16.2,0.3,-0.92
1,9773,1,116.0,19,19,4,7,110.1,1,0,18,6,6,6,13.333333333333334,6,6,6,12.0,11.1,0.6,2.02
39,9003,1,133.1,37,37,9,6,160.0,1,0,43,18,19,18,14.63157894736842,13,14,13,14.23076923076923,15.5,2.8,-4.06
43,9670,1,127.0,37,37,9,9,127.0,1,1,23,9,11,6,10.5,10,10,10,11.7,9.4,-0.8,-3.12
1,9130,1,150.0,5,5,2,2,146.2,1,0,18,5,12,4,13.0,5,6,5,14.0,9.4,-0.8,-3.12
7,9119,1,180.0,4,3,2,7,180.0,1,1,30,5,6,4,14.5,5,10,3,16.2,13.9,-0.3,0.79
1,9085,1,133.0,1,38,9,90,128.2,1,0,21,5,7,5,12.0,5,7,4,12.5,7.6,2.6,0.32
1,9085,1,145.0,38,38,9,10,139.8,1,0,20,5,6,5,14.8,5,6,5,14.0,12.7,3.7,-1.7
1,9500,1,128.0,1,1,4,10,125.2,1,1,18,7,7,7,14.682857142857143,8,9,8,15.055555555555555,12.4,0.5,1.79
17,9238,1,130.0,19,1,5,5,130.0,1,0,20,6,8,4,11.25,6,15,3,10.0,9.4,-0.8,-3.12
39,8014,0,133.1,1,1,4,4,107.5,0,1,29,6,6,0,0.0,5,5,0,0.0,8.9,1.4,3.51
1,9070,1,135.0,19,37,9,9,134.0,1,0,22,6,10,5,10.8,6,7,5,12.8,12.7,3.7,-1.7
39,9003,1,133.1,37,37,3,8,130.0,1,0,30,6,6,0,0.0,6,6,0,0.0,11.1,0.6,2.02
17,9070,1,133.1,38,19,5,5,128.0,1,0,21,6,6,6,11.5,6,6,6,12.333333333333334,9.4,-0.8,-3.12
1,9500,1,141.0,19,38,5,7,125.5,1,0,18,8,10,8,12.86,8,10,8,12.86,9.4,-0.8,-3.12
17,9147,1,122.0,19,19,7,7,116.1,1,0,19,5,8,5,11.2,5,5,3,11.0,12.4,0.5,1.79
17,9147,1,129.0,2,3,2,2,128.3,1,0,19,5,10,3,11.0,5,9,4,11.75,12.7,3.7,-1.7
17,9254,1,122.0,1,1,4,2,116.1,1,1,19,6,7,5,12.2,6,12,2,12.0,7.6,2.6,0.32
17,9070,1,121.0,1,19,144,144,111.9,1,1,19,6,9,5,12.0,6,10,4,11.2,8.9,1.4,3.51
5,171,1,137.0,3,19,1,10,144.7,1,1,20,0,0,0,0.0,0,0,0,0.0,16.2,0.3,-0.92
1,9500,1,132.0,19,2,9,3,126.0,1,0,19,7,7,6,12.183333333333332,7,7,6,12.183333333333332,7.6,2.6,0.32
43,9670,1,132.0,3,19,4,8,120.5,1,1,19,6,17,4,12.5,6,8,4,13.25,13.9,-0.3,0.79
18,9500,1,131.0,1,3,3,2,121.2,1,0,18,7,8,7,12.4,8,9,8,12.8,16.2,0.3,-0.92
17,9238,1,133.1,1,38,9,7,110.5,1,0,19,6,10,6,14.25,6,7,6,14.0,16.2,0.3,-0.92
1,9070,1,129.0,5,3,5,7,124.8,1,0,21,6,6,6,14.5,6,7,5,12.0,12.4,0.5,1.79
42,9500,1,122.0,3,3,2,2,122.0,1,0,20,8,11,6,12.491666666666667,8,11,6,12.491666666666667,12.7,3.7,-1.7
1,9500,1,142.0,19,38,4,5,130.3,1,0,18,7,7,6,13.683333333333332,7,7,6,13.683333333333332,7.6,2.6,0.32
1,9500,1,140.0,1,37,4,9,128.0,1,0,18,7,7,6,14.066666666666668,7,7,6,14.066666666666668,7.6,2.6,0.32
1,9147,1,136.0,1,3,9,5,137.1,1,1,20,5,5,0,0.0,5,5,0,0.0,12.7,3.7,-1.7
1,9500,1,111.0,3,4,4,3,108.2,1,0,20,7,9,6,13.266666666666666,7,10,5,12.3,12.4,0.5,1.79
1,9070,1,164.0,38,38,9,7,165.8,1,0,18,6,7,6,14.166666666666666,6,7,6,14.857142857142858,9.4,-0.8,-3.12
17,9147,1,140.0,37,37,9,7,132.3,1,0,20,5,9,1,10.0,5,10,1,11.0,7.6,2.6,0.32
17,9500,1,141.0,38,38,7,10,139.8,1,0,18,8,8,8,14.935,8,8,8,14.935,9.4,-0.8,-3.12
18,9254,1,106.0,19,37,7,7,106.0,1,1,21,6,8,4,10.5,6,11,1,11.0,9.4,-0.8,-3.12
15,9085,1,133.1,37,37,9,9,109.6,1,0,18,6,13,4,12.25,6,15,5,11.0,11.1,0.6,2.02
1,9853,1,122.0,38,37,191,195,112.9,1,0,19,7,8,7,13.857142857142858,7,8,6,13.666666666666666,8.9,1.4,3.51
1,9147,1,180.0,37,37,7,4,153.8,1,0,20,5,5,5,13.8,5,6,5,12.0,9.4,-0.8,-3.12
1,9238,1,121.0,1,1,1,1,115.1,1,0,19,6,10,6,10.833333333333334,6,7,6,12.142857142857142,11.1,0.6,2.02
7,9991,0,130.0,3,19,2,3,133.9,1,0,28,5,7,5,13.714285714285714,5,7,5,13.142857142857142,16.2,0.3,-0.92
